nose-x,nose-y,nose-conf,left-eye-x,left-eye-y,left-eye-conf,right-eye-x,right-eye-y,right-eye-conf,left-ear-x,left-ear-y,left-ear-conf,right-ear-x,right-ear-y,right-ear-conf,left-shoulder-x,left-shoulder-y,left-shoulder-conf,right-shoulder-x,right-shoulder-y,right-shoulder-conf,left-elbow-x,left-elbow-y,left-elbow-conf,right-elbow-x,right-elbow-y,right-elbow-conf,left-hand-x,left-hand-y,left-hand-conf,right-hand-x,right-hand-y,right-hand-conf,left-hip-x,left-hip-y,left-hip-conf,right-hip-x,right-hip-y,right-hip-conf,left-knee-x,left-knee-y,left-knee-conf,right-knee-x,right-knee-y,right-knee-conf,left-foot-x,left-foot-y,left-foot-conf,right-foot-x,right-foot-y,right-foot-conf
1687.5170288085938,1006.7419586181641,0.6704809069633484,1690.6520080566406,988.7537536621094,0.7212398052215576,1686.4544677734375,990.6889343261719,0.016273513436317444,1739.3532409667969,977.5485229492188,0.9075667858123779,1744.8916625976562,979.5035781860352,0.10004126280546188,1773.5185546875,1108.5363464355469,0.8384912014007568,1770.0793762207031,1053.4672088623047,0.9218605160713196,1719.0982666015625,1237.7204895019531,0.819202721118927,1598.305419921875,1117.2055358886719,0.8896868228912354,1636.953857421875,1218.0412902832031,0.8889634013175964,1431.0162200927734,1109.6016540527344,0.9070836305618286,1727.7303771972656,1311.8082885742188,0.8753170371055603,1717.4308471679688,1277.0130615234375,0.9154068231582642,1569.9182586669922,1358.4832153320312,0.8286318182945251,1579.741683959961,1341.0495910644531,0.8445433974266052,1619.76953125,1506.2659301757812,0.5751580595970154,1620.4583435058594,1491.9799194335938,0.5989003777503967
1677.5856323242188,1002.0725860595703,0.8399339914321899,1683.4473876953125,984.1518707275391,0.7740618586540222,1675.7218933105469,984.3453521728516,0.08796046674251556,1731.3587646484375,967.4248123168945,0.8203589916229248,1749.5625305175781,980.8525619506836,0.042251843959093094,1780.108154296875,1106.2999877929688,0.36053571105003357,1766.8333129882812,1056.7819061279297,0.9044796228408813,1676.9281005859375,1212.2285461425781,0.25456899404525757,1588.3345947265625,1112.4736785888672,0.9132596850395203,1645.471923828125,1217.4302368164062,0.5516247153282166,1426.629020690918,1114.504653930664,0.9264733791351318,1747.2225646972656,1387.3328247070312,0.6892791986465454,1713.4987182617188,1353.9971313476562,0.9132583141326904,1602.001220703125,1424.6761474609375,0.7200254201889038,1563.4571228027344,1388.1224365234375,0.8875869512557983,1586.1182250976562,1551.7277221679688,0.42882558703422546,1580.3593444824219,1531.6126098632812,0.6454190611839294
1676.1002807617188,1001.8246154785156,0.5651981830596924,1678.9359741210938,982.4489212036133,0.5902750492095947,1677.9091796875,983.7984085083008,0.009374408051371574,1728.6460876464844,975.4780731201172,0.8137722015380859,1729.69921875,973.0856399536133,0.14138126373291016,1793.6237182617188,1109.5988159179688,0.5105863809585571,1748.9840393066406,1055.8075866699219,0.9197706580162048,1755.1704406738281,1271.5619812011719,0.21039968729019165,1590.0670166015625,1117.205322265625,0.8780158162117004,1636.4610595703125,1237.4418334960938,0.28383755683898926,1428.5083465576172,1117.8227233886719,0.8358640670776367,1741.0530090332031,1351.0069274902344,0.7702804207801819,1686.4874572753906,1310.4582824707031,0.920312225818634,1656.7982788085938,1454.7867431640625,0.7822147011756897,1578.4786987304688,1402.1948852539062,0.898659884929657,1636.3023071289062,1575.8471069335938,0.5932681560516357,1557.865982055664,1548.8362426757812,0.7288320660591125
1660.6619567871094,997.3645782470703,0.8663135766983032,1667.8977661132812,979.5599975585938,0.8296875357627869,1658.5575561523438,980.8096466064453,0.19947580993175507,1712.734619140625,968.6553497314453,0.8394034504890442,1732.8027648925781,977.7418060302734,0.0711064338684082,1776.1127014160156,1106.520034790039,0.6074032783508301,1745.3799133300781,1054.5013885498047,0.936750590801239,1693.1209716796875,1218.2989196777344,0.43115970492362976,1583.4217529296875,1117.9745788574219,0.9241642951965332,1645.1253967285156,1221.1164245605469,0.6784769296646118,1418.4158554077148,1123.2481994628906,0.9374695420265198,1722.2341003417969,1338.1637268066406,0.8368108868598938,1680.5291137695312,1305.5212707519531,0.9482088088989258,1662.0356140136719,1476.640869140625,0.8686890006065369,1584.5128784179688,1433.6404418945312,0.9488518238067627,1614.9310607910156,1597.664794921875,0.6561310291290283,1548.2654571533203,1580.89111328125,0.8175520300865173
1654.2807006835938,994.9836273193359,0.8204966187477112,1660.4521179199219,976.8047714233398,0.888534665107727,1657.2847290039062,978.3455123901367,0.033090174198150635,1713.7338562011719,976.3310089111328,0.9308488965034485,1722.7987060546875,971.7014541625977,0.124479278922081,1771.5737915039062,1090.0937042236328,0.7340793609619141,1760.2693176269531,1054.2336883544922,0.9043747782707214,1729.8202514648438,1238.3388061523438,0.6294533014297485,1588.5967712402344,1131.0094299316406,0.8690326809883118,1641.5131530761719,1235.6395568847656,0.7664302587509155,1418.009178161621,1133.3235168457031,0.8936994671821594,1752.1844177246094,1353.2654113769531,0.7785540223121643,1730.6146240234375,1326.7407531738281,0.8687738180160522,1618.6647033691406,1372.2461547851562,0.7865319848060608,1608.4626159667969,1347.4643249511719,0.843161404132843,1551.581314086914,1614.7612915039062,0.5814266204833984,1543.40478515625,1599.0604858398438,0.6456378698348999
1645.2134399414062,991.8552856445312,0.915503740310669,1652.955810546875,975.2286834716797,0.8943250775337219,1645.3501892089844,972.9650802612305,0.0917719379067421,1701.6784057617188,972.8395843505859,0.9403532147407532,1738.2813720703125,961.5738906860352,0.02636948972940445,1777.3612976074219,1110.5193481445312,0.6551542282104492,1758.5141296386719,1050.1353759765625,0.8731497526168823,1730.4091491699219,1278.0728149414062,0.7451955080032349,1582.6643371582031,1140.865966796875,0.8893853425979614,1639.4525756835938,1238.0356750488281,0.917402446269989,1410.342155456543,1138.0294494628906,0.9420034885406494,1761.067626953125,1402.8896484375,0.6759253740310669,1730.23486328125,1363.2008666992188,0.8195445537567139,1670.72509765625,1432.6915893554688,0.7813724875450134,1600.0274963378906,1351.3856506347656,0.8481713533401489,1596.91845703125,1648.013427734375,0.466201514005661,1535.9272003173828,1617.2064208984375,0.5899325013160706
1631.8877868652344,990.6351470947266,0.7471415400505066,1638.614013671875,971.7949981689453,0.8100184798240662,1636.3770751953125,971.5299835205078,0.007725604344159365,1689.4822692871094,978.9588165283203,0.9373536109924316,1704.0058288574219,966.8209838867188,0.15225057303905487,1779.0242919921875,1096.2330474853516,0.5758928656578064,1733.7671508789062,1053.6150207519531,0.9267202019691467,1793.2672424316406,1269.8213500976562,0.24518583714962006,1577.787353515625,1155.1658630371094,0.8808375597000122,1700.3615417480469,1285.5954284667969,0.30994686484336853,1414.466194152832,1144.5857849121094,0.8391185998916626,1750.3830261230469,1378.754150390625,0.6701111197471619,1707.0558471679688,1345.8275756835938,0.8658854961395264,1618.4667053222656,1422.4022827148438,0.6610022783279419,1592.3688354492188,1395.7471313476562,0.8197034001350403,1538.84765625,1658.709716796875,0.4475780427455902,1533.9557037353516,1650.4260864257812,0.5843613743782043
1621.2169494628906,988.1262817382812,0.7447624206542969,1630.1600341796875,970.9435195922852,0.7051016092300415,1623.3110046386719,970.340087890625,0.03665661811828613,1680.4981689453125,974.8521957397461,0.8906456232070923,1720.3977355957031,960.7541046142578,0.0337357297539711,1762.9712219238281,1096.2061920166016,0.7331110835075378,1742.52783203125,1050.0843963623047,0.886376142501831,1700.0461730957031,1257.4744873046875,0.7756807208061218,1574.9142456054688,1162.8346557617188,0.8830299377441406,1641.2622680664062,1247.9995727539062,0.9029017090797424,1413.1228866577148,1153.3870849609375,0.9276700019836426,1766.6327209472656,1407.1703491210938,0.7316763401031494,1736.7002258300781,1374.1376953125,0.8385511040687561,1645.1739196777344,1443.9406127929688,0.7825811505317688,1595.8303527832031,1393.4534301757812,0.8314206600189209,1566.2414245605469,1674.3202514648438,0.4523029625415802,1527.190689086914,1653.8524169921875,0.5401974320411682
1606.3699951171875,987.6968383789062,0.7665582299232483,1615.9563903808594,969.7932434082031,0.7695206999778748,1610.4515380859375,969.1552429199219,0.032153982669115067,1668.9421997070312,976.6355590820312,0.9379122257232666,1721.91748046875,955.9156265258789,0.04685867205262184,1730.5777893066406,1100.627212524414,0.7448195815086365,1755.7997741699219,1045.3026123046875,0.9086777567863464,1596.5802307128906,1230.4221801757812,0.5932331681251526,1572.6968688964844,1174.3211059570312,0.8511205315589905,1600.4652709960938,1239.8913879394531,0.7259573936462402,1415.4280548095703,1160.2829895019531,0.8769630193710327,1754.0327453613281,1403.0386962890625,0.6958928108215332,1748.8193969726562,1372.3765258789062,0.8303630352020264,1610.5646362304688,1430.0388793945312,0.765978991985321,1601.1859130859375,1408.3897705078125,0.8348981142044067,1551.5561828613281,1677.0362548828125,0.4775179922580719,1533.2625274658203,1668.010498046875,0.5727015137672424
1594.8744506835938,985.4990997314453,0.8075618147850037,1605.2105102539062,967.9032821655273,0.8366587162017822,1598.2181396484375,968.2748718261719,0.04559556022286415,1651.1051635742188,979.5142669677734,0.9642540216445923,1704.0722961425781,964.3136444091797,0.046777501702308655,1733.8916320800781,1098.4762420654297,0.720416784286499,1732.8766479492188,1056.3509368896484,0.9274742007255554,1549.8228149414062,1211.1842956542969,0.47988227009773254,1573.8988647460938,1184.378662109375,0.854048490524292,1400.3415603637695,1161.1385498046875,0.5443547964096069,1416.6925430297852,1164.359619140625,0.8468828201293945,1740.2823486328125,1407.131103515625,0.7381663918495178,1698.5063171386719,1376.598876953125,0.8801377415657043,1696.229248046875,1510.795654296875,0.6977303624153137,1583.5322570800781,1461.2366333007812,0.8293347954750061,1677.3937072753906,1707.2697143554688,0.3990973234176636,1541.8798522949219,1677.95751953125,0.5726596117019653
